column,null_count,null_pct,non_null
VendorID,0,0.0,12672737
tpep_pickup_datetime,0,0.0,12672737
tpep_dropoff_datetime,0,0.0,12672737
passenger_count,326869,2.58,12345868
trip_distance,0,0.0,12672737
RatecodeID,326869,2.58,12345868
store_and_fwd_flag,326869,2.58,12345868
PULocationID,0,0.0,12672737
DOLocationID,0,0.0,12672737
payment_type,0,0.0,12672737
fare_amount,0,0.0,12672737
extra,0,0.0,12672737
mta_tax,0,0.0,12672737
tip_amount,0,0.0,12672737
tolls_amount,0,0.0,12672737
improvement_surcharge,0,0.0,12672737
total_amount,0,0.0,12672737
congestion_surcharge,326869,2.58,12345868
airport_fee,326869,2.58,12345868
