pickup_hour,avg_tip,avg_fare,trip_count
0,3.521870285845944,19.4613113213726,351203
1,3.2173540681970914,17.71751346218769,236960
2,2.984874904501157,16.607333735659118,155761
3,3.0438639089017006,17.653977110294637,104239
4,3.646867249174978,22.863410435718194,68783
5,4.183027516564171,27.05626658147323,71993
6,3.6240495469717127,22.744328560338484,176479
7,3.305516879146644,19.13663083986426,349366
8,3.189488087009189,17.783570378667513,480316
9,3.215070213930865,17.884078325009295,544194
10,3.1793954231170685,17.90164768117969,589222
11,3.178450903558849,17.935777899353972,641574
12,3.245411685088841,18.370485702914603,695981
13,3.345361316801163,19.070485277883794,719258
14,3.51404785494732,20.018638828240842,773128
15,3.464465493824492,19.80965242103113,788569
16,3.7045505497845572,19.825623014245753,795038
17,3.612819507886001,18.743696528059544,864963
18,3.4502910967444906,17.35173195187976,901659
19,3.478566785020341,17.540625101966945,802957
20,3.4734330027744944,17.897928581880834,710716
21,3.5792433908703507,18.292247634476627,697520
22,3.666573562482557,19.189286979621215,645227
23,3.748548549101513,20.275631636589633,506755
